project,category,file_name,extension,relative_path,full_path,size_bytes,modified,matched_by,discipline,pages_or_sheets,extract_status,text_chars,keywords,summary,risks
2022,01-合同招投标,青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1)(1).xlsx,.xlsx,2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1)(1).xlsx,D:\高治国资料\2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1)(1).xlsx,57848,2023-11-08 17:15:09,filename,桥涵结构,2,text-extracted,997,施工图,"工作表: Sheet1, Sheet2 [Sheet1] K0+415 北大渠中桥全桥工程数量表 青河县边境经济合作区基础设施建设项目一期第一合同段 | 第 1 页共1页 | 图号：S4-2 项 目 工程材料 | 单位 | 上 部 构 造 | 下 部 构 造 | 锥坡 | 踏步 | 应急池 | 合计 小箱梁 | 桥面铺装 、调平层 | 伸缩缝 | 支座及垫 石 | 钢护栏 | 防落网 | 排水 | 桥墩 | 桥台 预制部分 | 现浇部分 | 盖梁及挡块 | 墩身及柱间系梁 | 桩系梁 | 桩基础 | 台帽 | 挡块 | 耳背墙 | 承台垫 层 | 承台及承 台系级 | 桩基础 | 搭板 (H≤10m) (0个) | (1D≤H≤20...",
2022,01-合同招投标,青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1)(2).xlsx,.xlsx,2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1)(2).xlsx,D:\高治国资料\2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1)(2).xlsx,50879,2023-11-08 17:30:48,filename,桥涵结构,1,text-extracted,530,排水沟、施工图、箱涵、钢筋、结构,工作表: Sheet1 [Sheet1] 箱涵工程数量表 S4-7 青河县边境经济合作区基础设施建设项目一期第一合同段两阶段施工图设计 第1页共3页 序号 | 中心桩号 | 结构类型 | 交 角 (°) | 孔数及孔径 (孔-m) | 涵长 (m) | 洞口形式 | 工 程 数 量 左洞口 | 右洞口 | C40(m³) | C30(m³) 涵身箱体 | 翼墙墙身 | 涵身基础 | 涵身帽石 1 | KO+294.500 | 钢筋混凝土箱涵 | 90 | 1-4 | 22.5 | 22.5 | 排水沟 | 排水沟 | 172.6 | 172.6 | 20.6 | 20.6 | 96.2 | 96.2 | 2.1 2 | KO+862...,
2022,01-合同招投标,青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1).pdf,.pdf,2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1).pdf,D:\高治国资料\2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1).pdf,21825900,2023-11-08 11:11:14,filename,未判定,,metadata-only: PyMuPDF unavailable,0,施工图,青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1),missing_text
2022,01-合同招投标,青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1).xlsx,.xlsx,2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1).xlsx,D:\高治国资料\2022\青河G331项目\01-合同招投标\青河县边境经济合作区基础设施建设项目一期第一合同段--两阶段施工图设计(1).xlsx,40236,2023-11-08 17:10:40,filename,路基防护排水,1,text-extracted,615,施工图,"工作表: Sheet1 [Sheet1] 路基、路面排水工程数量表(边沟) S3-17 青河县边境经济合作区基础设施建设项目一期第一合同段两阶段施工图设计 | 第1页共1页 编号 | 起 讫 桩 号 | 置 置 设位 | 工程 名称 | 尺寸说明 | 长度 (m) | 备注 开挖体积 (m³) | C30现浇混 凝土 | C30预制混凝土 | M10浆砌片石 | 复合土 工布 | 砂砾垫层 (Ⅱ类土) | (m³) | (m³) | (m³) | (m²) | (m³) 环保型边沟 K0+000.00 ～K0+399.00 | 路基两侧 | 环保型边沟 | 矩形边沟，底宽0.6m,深0.6m | 399.0 | 433.9 | 24...",
2022,02-工程量与计价,(其中箍筋）钢筋级别直径汇总表2024-09-09-09-11-59.xls,.xls,2022\青河G331项目\02-工程量与计价\(其中箍筋）钢筋级别直径汇总表2024-09-09-09-11-59.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\(其中箍筋）钢筋级别直径汇总表2024-09-09-09-11-59.xls,6656,2024-09-09 09:12:00,filename,未判定,,metadata-only,0,钢筋,(其中箍筋）钢筋级别直径汇总表2024-09-09-09-11-59,missing_text
2022,02-工程量与计价,(汇总表）钢筋级别直径汇总表2024-09-09-10-58-28.xls,.xls,2022\青河G331项目\02-工程量与计价\(汇总表）钢筋级别直径汇总表2024-09-09-10-58-28.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\(汇总表）钢筋级别直径汇总表2024-09-09-10-58-28.xls,6656,2024-09-09 10:58:28,filename,未判定,,metadata-only,0,钢筋,(汇总表）钢筋级别直径汇总表2024-09-09-10-58-28,missing_text
2022,02-工程量与计价,1#综合楼12#钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼12#钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼12#钢筋下料表.xls,9093120,2024-09-11 11:56:33,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼12#钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼14#钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼14#钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼14#钢筋下料表.xls,9093120,2026-06-11 18:17:45,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼14#钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼16#钢筋下料汇总表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼16#钢筋下料汇总表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼16#钢筋下料汇总表.xls,9093120,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,钢筋,1#综合楼16#钢筋下料汇总表,missing_text
2022,02-工程量与计价,1#综合楼一层框梁钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼一层框梁钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼一层框梁钢筋下料表.xls,465920,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼一层框梁钢筋下料表,missing_text
