file,sheet,row,code,name,qty_lastnum
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,9,010101001001,平整场地,320.32
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,10,010101004001,挖基坑土方,172.37
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,11,010103001001,回填方,123.43
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,12,010103002001,余方弃置,48.94
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,13,040303001001,混凝土垫层,6.36
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,14,010501004001,独立基础,38.64
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,15,010502001001,矩形柱,3.96
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,16,010507007001,细石砼后浇包裹柱脚,0.54
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,17,010507007002,不收缩细石混凝土二次浇注,0.36
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,18,010515001001,现浇构件钢筋,0.446
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,19,010515001002,现浇构件钢筋,1.301
