rel,path,status,sheet_count,sheets,project,unit,file_size,section,discipline,bill_items,major_amount,major_amount_label
工程量清单、项目招标图纸等/其他费用清单.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\其他费用清单.xlsx,ok,3,Sheet1; Sheet2; Sheet3,,,14305,图纸附件,,0,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分.xlsx,ok,3,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-02 建设项目投标报价汇总表,工程名称：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页 共  1  页,序号 | 单项工程名称 | 金额（元） | 其中: （元）,11166,新能源,集控中心,0,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\停车场工程\停车场工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：停车场工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,42886,新能源,集控中心,51,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/园林绿化工程/园林绿化工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\园林绿化工程\园林绿化工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：园林绿化工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,24535,新能源,集控中心,12,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/围墙工程/围墙工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\围墙工程\围墙工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：围墙工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,37920,新能源,集控中心,47,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/室外工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\室外工程.xlsx,ok,1,表-03 单项工程投标报价汇总表,工程名称：室外工程 | 第  1  页 共  1  页,单项工程投标报价汇总表,8269,新能源,集控中心,0,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/强弱电工程/强弱电工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\强弱电工程\强弱电工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：强弱电工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,35787,新能源,集控中心,44,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/消防水工程/消防水工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\消防水工程\消防水工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：消防水工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,29965,新能源,集控中心,33,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/热力工程/热力工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\热力工程\热力工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：热力工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,25667,新能源,集控中心,17,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/给排水工程/给排水工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\给排水工程\给排水工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：给排水工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,35086,新能源,集控中心,38,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/道路工程/道路工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\室外工程\道路工程\道路工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：道路工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,26832,新能源,集控中心,21,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/汇总表-新能源集控中心部分.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\汇总表-新能源集控中心部分.xlsx,ok,2,审核汇总表; 设备表,工程名称：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 单位：元,,18784,新能源,集控中心,0,7800000.0,R36 四 | 合计 | 7800000
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/集控中心/太阳能工程/太阳能工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\集控中心\太阳能工程\太阳能工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：太阳能工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,34669,新能源,集控中心,39,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/集控中心/建筑工程/建筑工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\集控中心\建筑工程\建筑工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：建筑工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,55482,新能源,集控中心,49,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/集控中心/弱电及监控工程/弱电及监控工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\集控中心\弱电及监控工程\弱电及监控工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：弱电及监控工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,33274,新能源,集控中心,46,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/集控中心/消防报警工程/消防报警工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\集控中心\消防报警工程\消防报警工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：消防报警工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,41755,新能源,集控中心,55,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/集控中心/消防水工程/消防水工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\集控中心\消防水工程\消防水工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：消防水工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,60078,新能源,集控中心,44,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/集控中心/电气工程/电气工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\集控中心\电气工程\电气工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：电气工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,69200,新能源,集控中心,45,,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/集控中心/给排水工程/给排水工程.xlsx,C:\Users\20752\Desktop\哈密国源综合服务中心项目\5-7国源电力哈密煤电公司综合能源集控服务中心工程施工公开招标\招标文件\附件\工程量清单、项目招标图纸等\国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）\集控中心\给排水工程\给排水工程.xlsx,ok,7,封-1 招标工程量清单封面; 扉-1 招标工程量清单扉页; 表-04 单位工程投标报价汇总表; 表-08 分部分项工程和单价措施项目清单与计价表; 表-11 总价措施项目清单与计价表; 表-12 其他项目清单与计价汇总表; 表-13 规费、税金项目清单与计价表,工程名称：给排水工程 | 标段：国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分 | 第  1  页  共  1  页,单位工程投标报价汇总表,56614,新能源,集控中心,41,,
