file,sheet,max_row,max_col,bill_items,amounts
工程量清单、项目招标图纸等/其他费用清单.xlsx,Sheet1,31,8,0,"R14:2 | 临时用地规划许可证办理费 | 以建设单位名义，办理施工生产及生活临建场地的规划许可手续，包含审批流程协调、资料准备及相关规费。 | 项 | 1 => [2.0, 1.0] || R16:4 | 建筑垃圾处置许可证办理费 | 以建设单位名义，办理建筑垃圾处置许可及清运备案手续，包含政府规费、资料准备及审批协调费用。 | 项 | 1 => [4.0, 1.0] || R24:1 | 危大工程专项论证费 | 针对深基坑、高大模板、起重吊装等危险性较大的分部分项工程，组织专家进行专项方案论证；包含专家劳务费、会议组织费、论证报告编制费。 | 项 | 1 => [1.0, 1.0]"
工程量清单、项目招标图纸等/其他费用清单.xlsx,Sheet2,1,1,0,
工程量清单、项目招标图纸等/其他费用清单.xlsx,Sheet3,1,1,0,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分.xlsx,封-1 招标工程量清单封面,9,7,0,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分.xlsx,扉-1 招标工程量清单扉页,11,7,0,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分.xlsx,表-02 建设项目投标报价汇总表,32,8,0,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,封-1 招标工程量清单封面,9,7,0,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,扉-1 招标工程量清单扉页,11,7,0,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-04 单位工程投标报价汇总表,32,6,0,R11:2.1 | 单价措施项目费 => [2.1] || R12:2.2 | 总价措施项目费 => [2.2] || R13:2.21 | 其中：安全文明施工费 => [2.21] || R15:3.1 | 暂列金额 => [3.1] || R16:3.2 | 暂估价 => [3.2]
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-08 分部分项工程和单价措施项目清单与计价表,249,11,38,
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-11 总价措施项目清单与计价表,51,11,13,"R5:1 | 01B991 | 竣工档案编制费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0.27 => [1.0, 0.27] || R6:2 | 011707001001 | 安全文明施工 => [2.0, 11707001001.0] || R7:3 | 011707001002 | 其中：环境保护费、文明施工费、安全施工费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0 => [3.0, 11707001002.0] || R8:4 | 011707001003 | 其中：临时设施费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0 => [4.0, 11707001003.0] || R11:7 | 011707004001 | 二次搬运费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0 => [7.0, 11707004001.0] || R13:9 | 011707007001 | 已完工程及设备保护费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0.07 => [9.0, 11707007001.0, 0.07] || R14:10 | X011707008001 | 工程定位复测、点交清理费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0.08 => [10.0, 0.08] || R17:13 | X011707010003 | 其中：检验试验配合费 | 分部分项人工费+分部分项机械费+单价措施 | 0.11 => [13.0, 0.11]"
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-12 其他项目清单与计价汇总表,43,7,0,R5:1 | 暂列金额 | 明细详见表-12-1 => [1.0] || R6:2 | 暂估价 => [2.0] || R7:2.1 | 材料暂估价 | — | 明细详见表-12-2 => [2.1] || R8:2.2 | 专业工程暂估价 | 明细详见表-12-3 => [2.2] || R9:2.3 | 施工技术专项措施项目暂估价 | 明细详见表-12-7 => [2.3]
工程量清单、项目招标图纸等/国源电力哈密煤电公司综合能源集控服务中心施工项目-新能源集控中心部分（招标清单）/室外工程/停车场工程/停车场工程.xlsx,表-13 规费、税金项目清单与计价表,38,8,0,"R5:1 | 规费 | 社会保险费+住房公积金 => [1.0] || R7:1.11 | 养老保险费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 4.31 => [1.11, 4.31] || R8:1.12 | 失业保险费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0.38 => [1.12, 0.38] || R9:1.13 | 医疗保险费(生育保险费) | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 1.37 => [1.13, 1.37] || R10:1.14 | 工伤保险费 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0.19 => [1.14, 0.19] || R11:1.2 | 住房公积金 | 分部分项人工费+分部分项机械费+单价措施项目人工费+单价措施项目机械费 | 0.94 => [1.2, 0.94] || R12:2 | 税金 | 税前工程造价 | 9 => [2.0, 9.0]"
