账单日期,类别,一级分类,二级分类,金额,客户/供应商,备注
2021/10/23,支出,日常运营,伙食费,-166,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头、豆腐等款
2021/10/12,支出,办公费用,招待费,-650,G331青富阿一标四工区桥涵队-,招待工区包国峰、王新贵、老杨、朱新明等人
2021/10/12,支出,办公费用,招待费,-650,G331青富阿一标四工区桥涵队-,招待工区包国峰、王新贵、老杨、朱新明等人
2021/10/12,支出,日常运营,车辆维修租赁,-126,G331青富阿一标四工区桥涵队-,付小货车洗车、清洗等款
2021/10/11,支出,人工支出,工人借支,-1000,G331青富阿一标四工区桥涵队-,付王建借支1000元
2021/10/11,支出,人工支出,工人借支,-1000,G331青富阿一标四工区桥涵队-,付赵可借支1000元
2021/10/11,支出,日常运营,生活用品,-500,G331青富阿一标四工区桥涵队-,付王报购办公用品、餐费、招待餐费款
2021/10/11,支出,办公费用,交通费,-6000,G331青富阿一标四工区桥涵队-,付王建等7人驾车回西安路费（后与王建对报账）
2021/10/11,支出,日常运营,伙食费,-165,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购蔬菜一批
2021/10/11,支出,日常运营,伙食费,-114,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头、豆腐等款
2021/10/10,支出,日常运营,伙食费,-649,G331青富阿一标四工区桥涵队-青河惠华时代购物超市,会餐买凉菜、卤肉等一批
2021/10/10,支出,日常运营,伙食费,-89,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付蔬菜一批
2021/10/9,支出,机械物料,机械租赁,-7000,G331青富阿一标四工区桥涵队-清河荣盛机械租赁公司,租赁卡特320挖机使用2.5天，柴油2200元
2021/10/8,支出,日常运营,伙食费,-155,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购蔬菜一批
2021/10/8,支出,日常运营,车辆维修租赁,-48,G331青富阿一标四工区桥涵队-,五菱宏光洗车费
2021/10/8,支出,人工支出,工人借支,-8000,G331青富阿一标四工区桥涵队-,付任灶民、任再民、李建民、赵小军借支退场回家路费，每人2000元
2021/10/7,收入,项目备用金,项目备用金,20000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/10/7,支出,日常运营,伙食费,-139,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购火锅料等调料一批
2021/10/7,支出,日常运营,伙食费,-181.8,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购山药、卷心菜等蔬菜一批
2021/10/7,支出,日常运营,伙食费,-80,G331青富阿一标四工区桥涵队-,付面条、馒头款
2021/10/7,支出,人工支出,工人借支,-1000,G331青富阿一标四工区桥涵队-,付王文钰借支退场路费1000元
2021/10/7,支出,人工支出,工人借支,-1000,G331青富阿一标四工区桥涵队-,付杨玉喜、杨江伟退场借支回家路费，每人500元
2021/10/7,支出,办公费用,交通费,-240,G331青富阿一标四工区桥涵队-,付杨江伟报库车-乌市路费
2021/10/7,支出,人工支出,工人借支,-1000,G331青富阿一标四工区桥涵队-,付赵可借支1000元
2021/10/6,支出,日常运营,伙食费,-193,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购红薯、豆腐、白菜、大葱等蔬菜款
2021/10/5,支出,机械物料,修理费,-500,G331青富阿一标四工区桥涵队-青河广达机电维修商行,付蹦蹦夯修理费
2021/10/5,支出,日常运营,伙食费,-157,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付蔬菜一批
