工程量计算书,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
序号,项目名称,规格/特征,计算公式,单位,工程量,所属工程
一,2# 穿G7 箱涵顶管工程,,,,,
1,出发井基坑开挖,"含土砂砾石,13m深",15×8×13,m³,1560,2#-G7
2,接收井基坑开挖,"含土砂砾石,11m深",8×6×11,m³,528,2#-G7
3,出发井回填,合格土分层压实,1560-井体体积,m³,1050,2#-G7
4,接收井回填,废除回填,528-井体体积,m³,380,2#-G7
5,φ1.2m钻孔灌注桩(双排),"C30,桩长15m,旋挖",2排×8根×15m,m,240,2#-G7
6,φ1.2m钻孔灌注桩(单排),"C30,桩长15m",14根×15m,m,210,2#-G7
7,桩身混凝土,C30水下,π×0.6²×450,m³,508.94,2#-G7
8,冠梁混凝土,"1.2×1.2m,C30",32m×1.2×1.2+28m×1.2×1.2,m³,86.4,2#-G7
9,后背梁混凝土,"B×H×1m,C30",13×8×1,m³,104,2#-G7
10,滑板混凝土,"35cm,C30",15×8×0.35,m³,42,2#-G7
11,碎石垫层,30cm,15×8×0.30,m³,36,2#-G7
12,地锚梁混凝土,"50cm高,间距3m",5×8×0.5×0.5,m³,10,2#-G7
13,滑板润滑层,3mm滑石粉+石蜡+薄膜,15×8,m²,120,2#-G7
14,箱涵C50防水混凝土,"W8,5.7×4.5m,壁厚0.5-0.6m",118.2×(25.65-15.98),m³,1143,2#-G7
15,箱涵钢筋,"HRB400,φ28/φ25/φ8",1143×0.16t/m³,t,182.88,2#-G7
16,桩钢筋笼,HRB400+HPB300,508.94×0.08t/m³,t,40.72,2#-G7
17,其他结构钢筋,冠梁/滑板/后背墙,86.4+42+104×0.13,t,35,2#-G7
18,防水涂层(内壁),水泥基渗透结晶,(4.7+3.4)×2×118.2,m²,1914.84,2#-G7
19,防水涂层(外壁),水泥基渗透结晶,(5.7+4.5)×2×118.2,m²,2411.28,2#-G7
20,钢套环,"Q345,260×10mm",59节,个,59,2#-G7
21,橡胶止水圈,"三元乙丙,楔形",59节,个,59,2#-G7
22,土体注浆加固,"φ110,水泥浆0.5:1","后背5m+井间范围,梅花形",m,350,2#-G7
23,DN2200涂塑钢管,"壁厚14mm,焊接",118.2m,m,118.2,2#-G7
二,3# 穿Y063 圆管顶管工程,,,,,
24,工作井开挖,"圆形φ9.4m,深8.8m",π×4.7²×8.8,m³,610.8,3#-Y063
25,接收井开挖,"圆形φ5.9m,深8.8m",π×2.95²×8.8,m³,240.4,3#-Y063
26,回填(接收井废除),合格土回填,240.4+路面恢复,m³,560.4,3#-Y063
27,逆作法井壁C30,工作井+接收井,π×(4.7²-4.25²)×8.8+π×(2.95²-2.5²)×8.8,m³,176.15,3#-Y063
28,封底C30,工作井+接收井,π×4.25²×0.5+π×2.5²×0.5,m³,38.22,3#-Y063
29,井壁钢筋,HRB400+HPB300,176.15×0.12,t,21.14,3#-Y063
30,DN2600 RC套管C50,"壁厚260mm,柔性钢承口",28m,m,28,3#-Y063
31,顶管后注浆,"φ90,水泥浆0.5:1",每延米4.52m³×28,m³,126.56,3#-Y063
32,触变泥浆,膨润土基减阻,28m顶管段,m³,18,3#-Y063
33,DN2200涂塑钢管,42.4m,42.4m,m,42.4,3#-Y063
34,C25微膨胀砼填充,套管与供水管间,28m填充,m³,22,3#-Y063
35,橡胶止水封门板,穿管洞口,2套,套,2,3#-Y063
三,4# 穿G335 箱涵顶管工程,,,,,
36,出发井开挖,14.4×10.5×11.4m,14.4×10.5×11.4,m³,1723.68,4#-G335
37,接收井开挖,14.4×10.5×12.5m,14.4×10.5×12.5,m³,1890,4#-G335
38,回填,扣除检修井体积,3613.68-检修井体,m³,2300,4#-G335
39,φ1.2m钻孔灌注桩,"C35,桩长15m,@220cm",46根×15m,m,690,4#-G335
40,桩身混凝土,C35水下,π×0.6²×690,m³,780.37,4#-G335
41,冠梁C20,1.2×1.2m,100m×1.2×1.2,m³,144,4#-G335
42,后背梁C30,11.4×10.5×1m,11.4×10.5×1,m³,119.7,4#-G335
43,滑板C30,35cm,14.4×10.5×0.35,m³,52.92,4#-G335
44,碎石垫层,30cm,14.4×10.5×0.30,m³,45.36,4#-G335
45,箱涵C50防水混凝土,"W8,5.7×4.5m",62.2×9.6,m³,597.12,4#-G335
46,箱涵钢筋,HRB400,597.12×0.16,t,95.54,4#-G335
47,桩钢筋笼,HRB400+HPB300,780.37×0.08,t,62.43,4#-G335
48,其他结构钢筋,冠梁/滑板/后背墙,,t,38,4#-G335
49,防水涂层(内壁),水泥基渗透结晶,(4.7+3.4)×2×62.2,m²,1007.64,4#-G335
50,防水涂层(外壁),水泥基渗透结晶,(5.7+4.5)×2×62.2,m²,1268.88,4#-G335
51,钢套环+橡胶圈,"Q345,260×10+三元乙丙",19节,套,19,4#-G335
52,土体注浆加固,"φ110,水泥浆",后背+井间范围,m,180,4#-G335
53,置换注浆,水泥砂浆1:2:0.4,分段注浆,m³,45,4#-G335
54,桩间喷射砼+钢筋网,"C20,150mm,φ8@150",800m²,m²,800,4#-G335
55,φ609钢管撑,"Q235,壁厚16mm",4道×8m,m,32,4#-G335
56,DN2200涂塑钢管,62.2m,62.2m,m,62.2,4#-G335
57,触变泥浆,膨润土基减阻,38m顶管段,m³,22,4#-G335
