公路、市政工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
	01		路基清表									
		001	清理现场表土	m2	1.2	/	/	/	/	/	按实际完成合格工程量计算	场地清理，砍树挖根，放边界线，推土机(挖掘机）推/挖表土，将表土移出路基范围以外或汇集，原地面平整、压路机压实原地面至设计要求等全部工作内容
		002	钢筋混凝土结构拆除	m3	180.0	/	/	/	/	/	按实际完成合格工程量计算	机械设备进出场、镐头凿拆，分类堆积 ，装车运输1km;钢筋归甲方所有
		003	混凝土结构拆除	m3	100.0	/	/	/	/	/	按实际完成合格工程量计算	机械设备进出场、镐头凿拆，分类堆积 ，装车运输1km;
		004	砖、石及其他砌体结构的拆除	m3	40.0	/	/	/	/	/	按实际完成合格工程量计算	机械设备进出场、镐头凿拆，分类堆积 ，装车运输1km;
		005	凿除混凝土路面(20cm)	m3	45.0	/	/	/	/	/	按实际完成合格工程量计算	机械设备进出场、镐头凿拆，分类堆积 ，装车运输1km;
	02		土石方									
		001	人工挖排水沟土方	m3	20.0	/	甲方不提供材料,代乙方采购柴油等，从乙方计价中扣除，发票归甲方	/	/	甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合；甲方提供取、弃土场，但不负责其堆放、整理	按设计图示开挖断面尺寸计算	挖土、抛土、修整成型、弃土短距离运输（不超过1km）等全部工作内容
		002	挖掘机挖装土、自卸汽车运1km，弃土场整理	m3	6.0	柴油0.35kg					按实际测量方量计量，但不超过设计量	挖掘机就位、开挖工作面、挖、装、运、卸、空回、修整边坡、清理工作面、弃土场整理等全部工作内容
		003	自卸汽车运土、每增运0.5km	m3	0.6	柴油0.1kg					方量计算同上，运距按现场实测运距计算（小于0.2Km不计列，超过0.3Km按0.5Km计算）	运、卸土，空回等全部工作内容
		004	土方填筑	m3	4.5	柴油0.2kg					按实际完成的设计断面净体积计量。宽填、沉降量回填不计价；路基填方总量对下计价不得大于设计量。	原地面平整、分层均平、压实、修整路堤边坡及路面，取水洒水，路基边坡流水槽修筑等全部工作内容
		005	路基填筑(借土)挖、装、运1km、碾压	m3	10.5	柴油0.55kg						挖掘机就位，开辟工作面，填料挖、装、运、卸、空回，料场清理工作面、边坡修整，填料破碎解小，分层整平，翻晒，取水洒水，碾压，精平，路基边坡修整等全部工作内容
		006	挖掘机挖装淤泥、自卸汽车运1km，弃土场整理	m3	13.0	柴油0.55kg					以实际测量的数量计算	挖掘机挖装淤泥，自卸汽车运、弃至弃土场，清淤后水塘底处理，弃土场整理等全部工作内容
		007	淤泥每增运1km	m3	1.4	柴油0.2kg					按实测增运公里数计算	运、卸土，空回等全部工作内容
		008	石方爆破	m3	9.5	炸药0.2kg	代乙方采购爆破材料、柴油等，从乙方计价中扣除，发票归甲方	/	/	甲方负责建炸药库；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合；甲方提供取、弃土场，但不负责其堆放、整理。	按实际测量方量计量，但不超过设计量；无需爆破、可直接开挖的石方不计价。	开工作面、收放皮管、换钻杆钻头，钻机就位、选炮位、钻眼、清眼、装药、填塞，安全警戒、引爆及检查结果，排险、撬落、撬移、解小、清理等全部工作内容
		009	石方挖装、自卸汽车运1km，弃土场整理	m3	7.5	柴油0.45kg					按实际测量方量计量，但不超过设计量	挖掘机就位、开工作面、挖、装、运、卸、空回、修整边坡、检底、清理工作面、弃土场整理等全部工作内容
		010	自卸汽车增运石方、每增运0.5km	m3	0.7	柴油0.1kg					按设计断面方计量	运、卸土，空回等全部工作内容
		011	石方填筑	m3	5.0	柴油0.2kg					按设计图示压实断面方计算	机械整平石方、人工解小并摊平，碾压、洒水等全部工作内容
		012	机械凿打岩石(非爆破情况下破碎岩石)	m3	40.0	/	/	/	/	/	按天然密实方计算	挖掘机就位，开辟工作面，镐头安装、镐头机破除，修整边坡，挖掘机就位、开辟工作面、挖土、装车、移动位置、推土机清理余土、运1km、卸土，空回、清理工作面、便道修整、取、弃土场整理等全部工作内容
		013	围堰、工作平台挖运填筑	m³	9.5	/	/	/	/	/	按现场实际填筑断面计算	挖装运土、推土机推、填筑围堰及平台等
		014	编织袋围堰	m³	45.0	/	/	/	/	/	按照实际填筑计算	场地整理、装袋、堆码等全部工作内容
		015	砾石砂、碎石垫层	m³	5.0	/	甲方提供碎(砾)石至现场	/	/	/	按实际铺设断面计算	铺筑、整平、分层碾压等相关工作内容
	03		软基处理及防护									
		001	双向水泥搅拌桩（自发电桩径0.5m）	m	13.0	/	甲方提供水泥	/	/	甲方负责电接至施工现场配电柜处；甲方提供施工主便道；甲方提供场地；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按实际完成米数计算	机械进出场、移机、就位、柴油发电机发电、水泥倒运、水泥浆搅拌、成孔（按甲方要求四搅二喷一停）等完成施工的所有内容、确保桩基检测满足甲方要求，空钻部分不计价
