铁路工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
	01		土方									
		001	清除表土及原地面压实	m2	1.2	/	甲方不提供材料,代乙方采购柴油等，从乙方计价中扣除，发票归甲方	/	/	甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合；甲方提供取、弃土场，但不负责其堆放、整理	按设计图示路基断面宽度及清表长度之乘积计算，路基挖方地段不计	场地清理，砍树挖根，放边界线，推土机(挖掘机）推/挖表土，将表土移出甲方指定地点，原地面平整、压路机压实原地面至设计要求等全部工作内容
		002	人工挖排水沟土方	m3	20.0	/					按设计图示开挖断面尺寸计算	挖土、抛土、修整成型、弃土短距离运输（不超过1km）等全部工作内容
		003	挖掘机挖装土、自卸汽车运1km，弃土场整理	m3	6.0	柴油0.35kg					按实际测量方量计量，但不超过设计量	挖掘机就位、开挖工作面、挖、装、运、卸、空回、修整边坡、清理工作面、弃土场整理等全部工作内容
		004	自卸汽车运土、每增运0.5km	m3	0.6	柴油0.1kg					方量计算同上，运距按现场实测运距计算（小于0.2Km不计列，超过0.3Km按0.5Km计算）	运、卸土，空回等全部工作内容
		005	土方填筑	m3	4.5	柴油0.2kg					按实际完成的设计断面净体积计量。宽填、沉降量回填不计价；路基填方总量对下计价不得大于设计量。	原地面平整、分层均平、压实、修整路堤边坡及路面，取水洒水，路基边坡流水槽修筑等全部工作内容
		006	路基填筑(借土)挖、装、运1km、碾压	m3	10.5	柴油0.55kg						挖掘机就位，开辟工作面，填料挖、装、运、卸、空回，料场清理工作面、边坡修整，填料破碎解小，分层整平，翻晒，取水洒水，碾压，精平，路基边坡修整等全部工作内容
		007	挖掘机挖装淤泥、自卸汽车运1km，弃土场整理	m3	13.0	柴油0.55kg					以实际测量的数量计算	挖掘机挖装淤泥，自卸汽车运、弃至弃土场，清淤后水塘底处理，弃土场整理等全部工作内容
		008	淤泥每增运1km	m3	1.4	柴油0.2kg					按实测增运公里数计算	运、卸土，空回等全部工作内容
	02		石方									
		001	石方爆破	m3	9.5	炸药0.2kg	代乙方采购爆破材料、柴油等，从乙方计价中扣除，发票归甲方	/	/	甲方负责建炸药库；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合；甲方提供取、弃土场，但不负责其堆放、整理。	按实际测量方量计量，但不超过设计量；无需爆破、可直接开挖的石方不计价。	开工作面、收放皮管、换钻杆钻头，钻机就位、选炮位、钻眼、清眼、装药、填塞，安全警戒、引爆及检查结果，排险、撬落、撬移、解小、清理等全部工作内容
		002	石方挖装、自卸汽车运1km，弃土场整理	m3	7.5	柴油0.45kg					按实际测量方量计量，但不超过设计量	挖掘机就位、开工作面、挖、装、运、卸、空回、修整边坡、检底、清理工作面、弃土场整理等全部工作内容
		003	自卸汽车增运石方、每增运0.5km	m3	0.7	柴油0.1kg					按设计断面方计量	运、卸土，空回等全部工作内容
		004	石方填筑	m3	5.0	柴油0.2kg					按设计图示压实断面方计算	机械整平石方、人工解小并摊平，碾压、洒水等全部工作内容
	03		级配碎石及改良土									
		001	基床填筑级配碎石	m3	4.5	/	甲方提供级配碎石	/	/	甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合；甲方提供取、弃土场，但不负责其堆放、整理	按照设计图示压实断面尺寸计算	分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
		002	过渡段填筑级配碎石	m3	7.0	/		/	/		按照设计图示压实断面尺寸计算	分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
		003	级配碎石运输	m3*km	1.0	/		/	/		按照实际里程和对应的压实方量计算	运、卸土，空回等全部工作内容
		004	填筑水泥改良土（厂拌，运1KM）	m3	12.5	/	甲方提供水泥，损耗率0%	/	/		按照设计图示压实断面尺寸计算	集中拌和、运输；分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
		005	填筑水泥改良土（路拌机路拌，运1KM）	m3	13.0	/		/	/		按照设计图示压实断面尺寸计算	土源挖、装、运、堆码；现场机械拌和；分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
		006	填筑石灰改良土（厂拌，运1KM）	m3	12.5	/	甲方提供石灰，损耗率0%	/	/		按照设计图示压实断面尺寸计算	灰消解、焖灰、取水洒水、集中拌和、运输；分层摊平，压实，精平，修整边坡，养护等全部工作内容
		007	填筑石灰改良土（路拌机路拌，运1KM）	m3	13.0	/		/	/		按照设计图示压实断面尺寸计算	土源挖、装、运、堆码；石灰消解、焖灰、取水洒水、现场机械拌和；分层摊平，压实，精平，修整边坡，养护等全部工作内容
		008	填筑水泥卵砾石（厂拌，，运1KM）	m3	9.0	/	甲方提供水泥，损耗率0%；提供卵砾石资源。	/	/		按照设计图示压实断面尺寸计算	现场机械拌和；分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
		009	填筑水泥卵砾石（路拌机路拌，运1KM）	m3	13.0	/		/	/		按照设计图示压实断面尺寸计算	卵砾石挖、装、运、堆码；现场机械拌和；分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
