鄯善启创科技中高压电极箔建设项目 - 土建劳务清包工报价表						
编制日期: 2026.06.10    建筑面积: 54,800m²    结构: 框架+钢结构						
序号	项目名称	施工内容	单位	计算方式	综合单价(元/m²)	合价(元)
一	劳务费(1+2+3+4+5+6+7+8)		m²	建筑面积	312	17097600
1	土建	地下基础、室内外地面墙面、砌体抹灰、屋面散水踏步	m²	建筑面积	110	6028000
2	钢筋	基础钢筋、二次结构钢筋、焊接植筋	m²	建筑面积	70	3836000
3	模板	基础模板制作安拆、周转材料(钢管扣件租赁、大板木方)	m²	建筑面积	60	3288000
4	★钢结构安装	钢柱钢梁安装、支撑系杆安装、檩条安装、高强螺栓终拧、焊接	m²	建筑面积	25	1370000
5	★围护结构安装	屋面板安装、墙面板安装、泛水收边、雨篷、采光板安装	m²	建筑面积	10	548000
6	★钢结构防火涂料	钢结构防火涂料涂刷(膨胀型/非膨胀型)	m²	建筑面积	2	109600
7	外架	主体搭设外架、拆架、安全网密目网	m²	建筑面积	15	822000
8	文明施工费	标识标牌、防护网、钢筋加工棚、安全通道	m²	建筑面积	20	1096000
	土建劳务直接费小计(1~8)		m²	建筑面积	312	17097600
9	附材	扎丝钉子铁丝垫块脱模剂养护剂焊条螺栓氧气乙炔等辅材及小型机具	m²	建筑面积	65	3562000
10	管理费	技术人员工资、生活保障、车辆通勤	m²	建筑面积	10	548000
11	利润含税	按设计蓝图施工面积含税价(3%劳务税率+辅材税)	m²	建筑面积	53	2904400
	土建劳务清包合计		m²	建筑面积	440	24112000
注: 1.劳务清包工(包工+辅材+小型机具), 不含主材(钢材砼砌块等由甲方提供)						
2.★项为钢结构专项，报价依据新疆2026年工业厂房钢结构安装市场单价						
3.税金: 3%劳务税率(劳务费部分) + 辅材税(附材部分)，综合单价为含税价						
4.报价有效期30天, 付款: 月进度80%, 竣工验收97%, 质保金3%						
